tipe laka lantas;jumlah korban luka berat;jumlah korban luka ringan;jumlah korban meninggal dunia;latitude;longititude;direction;tipe cahaya;cuaca;fungsi jalan;kelas jalan;geometri jalan;tipe jalan;kecepatan;jenis jalan;lokasi jalan;kecamatan;jenis luka ;age;jenis kelamin;jenis kendaraan;cluster;kategori
tabrakan saat menyalip;0;3;0;-7,191159573;112,6421865;barat (270°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya mayjend sungkono kelurahan segoromadu kecamatan kebomas kabupaten gresik;kebomas;kecelakaan ringan;26-45;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;2;0;-7,327365514;112,6335859;selatan (180°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya  ds. randegansari kec. driyorejo kab. gresik;driyorejo;kecelakaan ringan;46-65;laki-laki;mini bus;0;tinggi
tabrakan saat menyalip;0;2;0;-7,357049045;112,6281466;selatan (180°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. tenaru kec. driyorejo kab. gresik;driyorejo;kecelakaan ringan;17-25;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;1;0;0;-7,269626544;112,4315966;barat (270°);gelap / sulit terlihat;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. kedungsumber kec. balongpanggang kab. gresik;balongpanggang;kecelakaan berat;26-45;laki-laki;pick up;2;rendah
tabrakan saat menyalip;1;0;0;-7,359385266;112,6278775;utara (0°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya desa tenaru kecamatan driyorejo kabupaten gresik;driyorejo;kecelakaan berat;<17;laki-laki;r2 (sepeda motor);2;rendah
tabrakan saat menyalip;0;1;0;-7,003327768;112,5641172;utara (0°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan nasional;jalan raya ds. ngawen kec. sidayu kab. gresik;sidayu;kecelakaan ringan;nan;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;2;0;-7,370166393;112,5948748;barat (270°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya ds. driyorejo kec. driyorejo kab. gresik;driyorejo;kecelakaan ringan;17-25;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;1;0;-6,957677273;112,5065829;timur (90°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan nasional;jalan raya ds. sekapuk kec. ujungpangkah kab. gresik;ujungpangkah;kecelakaan ringan;<17;laki-laki;r2 (sepeda motor);1;sedang
tabrakan saat menyalip;0;1;0;-7,15827967;112,6425328;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya jenderal ahmad yani kelurahan ngipik kecamatan gresik;gresik;kecelakaan ringan;<17;laki-laki;pick up;0;tinggi
tabrakan saat menyalip;0;2;0;-6,988709989;112,5588839;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. bunderan kec. sidayu kab. gresik;sidayu;kecelakaan ringan;26-45;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;2;0;-7,164183989;112,5433533;timur (90°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;4/2 b (4 lajur/2 arah dengan batas median);40;jalan nasional;jalan raya ds. tebaloan kec. duduksampeyan kab. gresik;duduk sampeyan;kecelakaan ringan;26-45;laki-laki;r2 (sepeda motor);1;sedang
tabrakan saat menyalip;0;1;0;-7,321356934;112,5659413;barat (270°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan propinsi;jalan raya ds. kedamean kec. kedamean kab. gresik;kedamean;kecelakaan ringan;26-45;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;1;1;0;-7,269709551;112,5666023;utara (0°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan propinsi;jalan raya ds. boteng kec. menganti kab. gresik;menganti;kecelakaan berat;46-65;laki-laki;medium truk;2;rendah
